Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
4997;Linomag;Lini oleum virginale;krem;200 mg/g;1 tuba 30 g;OTC;5909990258529;Przedsiębiorstwo Farmaceutyczne Ziołolek Sp. z o.o.;PL
4998;Linomag;Lini oleum virginale;maść;200 mg/g;1 tuba 30 g;OTC;5909990209514;Przedsiębiorstwo Farmaceutyczne Ziołolek Sp. z o.o.;PL
4999;Linomag;Lini oleum virginale;płyn na skórę;;1 butelka 70 g;OTC;5909990209446;Przedsiębiorstwo Farmaceutyczne Ziołolek Sp. z o.o.;PL
5000;Lioresal Intrathecal 0,05 mg/1 ml;Baclofenum;roztwór do wstrzykiwań;0,05 mg/ml;5 amp. 1 ml;Rp;5909990586370;Novartis Pharma GmbH;D
5001;Lioresal Intrathecal 10 mg/5 ml;Baclofenum;roztwór do infuzji;10 mg/ 5 ml;"1 amp. 5 ml
2 amp. 5 ml
5 amp. 5 ml";"Rp
Rp
Rp";"5909990586387
5909990586394
5909990586400";Novartis Pharma GmbH;D
5002;Lioresal Intrathecal 10 mg/20 ml;Baclofenum;roztwór do infuzji;10 mg/20 ml;"1 amp. 20 ml
2 amp. 20 ml
5 amp. 20 ml";"Rp
Rp
Rp";"5909990586417
5909990586424
5909990586431";Novartis Pharma GmbH;D
5003;Lioton 1000;Heparinum natricum;żel;8,5 mg/g;"1 op. 20 g
1 op. 30 g
1 op. 50 g
1 op. 100 g";"OTC
OTC
OTC
OTC";"5909990651450
5909990764129
5909990764112
5909990651498";A.Menarini Manufacturing Logistics and Services S.r.l.;I
5004;Lioven Max;Heparinum natricum;żel;;1 op. 50 g;OTC;5909990849499;EMO-FARM Sp. z o.o.;PL
5005;Lipa fix;Tiliae inflorescentia;zioła do zaparzania w saszetkach;;"20 sasz. 1,5 g
26 sasz. 1,5 g
30 sasz. 1,5 g";"OTC
OTC
OTC";"5909990028467
5909990028474
5909990028481";"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5006;Lipa Phytopharm;Tiliae inflorescentia;zioła do zaparzania w saszetkach;;"10 sasz. 1,5 g
20 sasz. 1,5 g
25 sasz. 1,5 g
30 sasz. 1,5 g";"OTC
OTC
OTC
OTC";"5909990052554
5909990052561
5909990052578
5909990052585";Phytopharm Dobrzyca Sp. z o.o.;PL
5007;Lipancrea 8000;Pancreatinum;kapsułki;8 000 j.Ph. Eur. Lipazy;"20 kaps.
50 kaps.";"OTC
OTC";"5909990869022
5909990841370";Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
5008;Lipancrea 16 000;Pancreatinum;kapsułki;16 000 j. Ph. Eur. lipazy;"30 kaps.
60 kaps.";"Rp
Rp";"5909990723157
5909990723164";Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
5009;Lipanor;Ciprofibratum;kapsułki;100 mg;30 kaps.;Rp;5909990376612;"Sanofi-Aventis Sp. z o.o. w Warszawie Oddział w Rzeszowie - Zakł. Prod. i Dyst. Leków w Rzeszowie
Sanofi-Winthrop Industrie";"PL



F"
5010;Lipanthyl;Fenofibratum;kapsułki;100 mg;50 kaps.;Rp;5909990258611;Recipharm Fontaine;F
5011;Lipanthyl 200M;Fenofibratum;kapsułki;200 mg;"30 kaps. (2 x 15)
30 kaps. (3 x 10)";"Rp
Rp";"5909990687947
5909990258710";Recipharm Fontaine;F
5012;Lipanthyl 267M;Fenofibratum;kapsułki;267 mg;30 kaps.;Rp;5909990492817;Recipharm Fontaine;F
5013;Lipanthyl Supra 160;Fenofibratum;tabletki powlekane;160 mg;30 tabl.;Rp;5909990903917;Recipharm Fontaine;F
5014;Lipanthyl Supra 215 mg;Fenofibratum;tabletki powlekane;215 mg;30 tabl.;Rp;5909990431342;Recipharm Fontaine;F
5015;Lipofundin 10% N;Soiae oleum raffinatum;emulsja do infuzji;100 mg/ml;"1 butelka 100 ml
1 butelka 500 ml";"Lz
Lz";"5909990250714
5909990250721";B. Braun Melsungen AG;D
5016;Lipofundin 20% N;Soiae oleum raffinatum;emulsja do infuzji;200 mg/ml;"1 butelka 100 ml
1 butelka 500 ml";"Lz
Lz";"5909990250813
5909990250820";B. Braun Melsungen AG;D
5017;Lipofundin MCT/LCT 10%;Soiae oleum raffinatum;emulsja do infuzji;10 %;"1 butelka 100 ml
1 butelka 250 ml
1 butelka 500 ml";"Lz
Lz
Lz";"5909990247912
5909990247929
5909990247936";B. Braun Melsungen AG;D
5018;Lipofundin MCT/LCT 20%;Soiae oleum raffinatum;emulsja do infuzji;20%;"1 butelka 100 ml
1 butelka 250 ml
1 butelka 500 ml";"Lz
Lz
Lz";"5909990248018
5909990248025
5909990248032";B. Braun Melsungen AG;D
5019;Lipohep;Heparinum natricum;żel;2400 j.m./g;1 op. 25 g;OTC;5909991134822;Pharbil Waltrop GmbH;D
5020;Lipomal;Tiliae inflorescentiae extractum siccum;syrop;97 mg/5 ml;1 butelka 125 g;OTC;5909991034719;Aflofarm Farmacja Polska Sp. z o.o.  Zakład Produkcji Leków;PL
5021;Lipomal 6 PLus;Tiliae flos;kapsułka twarda;400 mg;"30 kaps.
60 kaps.";"OTC
OTC";"5909990625895
5909990625901";Aflofarm Fabryka Leków Sp. z o.o.;PL
5022;Liprox;Lovastatinum;tabletki;20 mg;28 tabl.;Rp;5909990842315;Biofarm Sp. z o.o.;PL
5023;Liproxal 400;Cynarae folii extractum siccum;kapsułka twarda;400 mg;"20 kaps. 
50 kaps. 
100 kaps. ";"OTC
OTC
OTC";"5909991046019
5909991046026
5909991046033";Biofarm Sp. z o.o.;PL
5024;Lirona;Ropinirolum;tabletki powlekane;0,5 mg;"21 tabl.
84 tabl.";"Rp
Rp";"5909990695874
5909990695881";PLIVA Kraków Zakłady Farmaceutyczne S.A.;PL
5025;Lirona;Ropinirolum;tabletki powlekane;1 mg;"21 tabl.
84 tabl.";"Rp
Rp";"5909990695898
5909990695904";PLIVA Kraków Zakłady Farmaceutyczne S.A.;PL
5026;Lirona;Ropinirolum;tabletki powlekane;2 mg;"21 tabl.
84 tabl.";"Rp
Rp";"5909990695928
5909990695935";PLIVA Kraków Zakłady Farmaceutyczne S.A.;PL
5027;Lirona;Ropinirolum;tabletki powlekane;5 mg;"21 tabl.
84 tabl.";"Rp
Rp";"5909990695942
5909990695959";PLIVA Kraków Zakłady Farmaceutyczne S.A.;PL
5028;Lirra;Levocetirizini dihydrochloridum;tabletki powlekane;5 mg;"7 tabl.
10 tabl.
28 tabl.
30 tabl.
90 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990790784
5909990790791
5909990790807
5909990790821
5909990790838";"Glenmark Generics (Europe) Ltd.
Glenmark Pharmaceuticals s.r.o.
Tillomed Laboratories Ltd.";"GB
CZ
GB"
5029;LisiHEXAL 5;Lisinoprilum;tabletki;5 mg;30 tabl. ;Rp;5909991013318;"LEK S.A.
Salutas Pharma GmbH";"PL
D"
5030;LisiHEXAL 10;Lisinoprilum;tabletki;10 mg;30 tabl.;Rp;5909991013417;"LEK S.A.
Salutas Pharma GmbH";"PL
D"
5031;LisiHEXAL 20;Lisinoprilum;tabletki;20 mg;30 tabl.;Rp;5909991013516;"LEK S.A.
Salutas Pharma GmbH";"PL
D"
5032;Lisinopril Pfizer;Lisinoprilum;tabletki;5 mg;"28 tabl.
30 tabl.";"Rp
Rp";"5909990804900
5909990804924";"Pfizer Italia S.r.l.
Pfizer Service Company BVBA";"I
B"
5033;Lisinopril Pfizer;Lisinoprilum;tabletki;10 mg;"28 tabl.
30 tabl.";"Rp
Rp";"5909990804948
5909990804955";"Pfizer Italia S.r.l.
Pfizer Service Company BVBA";"I
B"
5034;Lisinopril Pfizer;Lisinoprilum;tabletki;20 mg;"28 tabl.
30 tabl.";"Rp
Rp";"5909990805006
5909990805020";"Pfizer Italia S.r.l.
Pfizer Service Company BVBA";"I
B"
5035;Lisinopril Pfizer;Lisinoprilum;tabletki;30 mg;"28 tabl.
30 tabl.";"Rp
Rp";"5909990805044
5909990805051";"Pfizer Italia S.r.l.
Pfizer Service Company BVBA";"I
B"
5036;Lisinopril Pfizer;Lisinoprilum;tabletki;40 mg;"28 tabl.
30 tabl.";"Rp
Rp";"5909990805068
5909990805075";"Pfizer Italia S.r.l.
Pfizer Service Company BVBA";"I
B"
5037;Lisinoratio 5;Lisinoprilum;tabletki;5 mg;30 tabl.;Rp;5909990939718;"Merckle GmbH
Teva Operations Poland Sp. z o.o.";"D
PL"
5038;Lisinoratio 10;Lisinoprilum;tabletki;10 mg;30 tabl.;Rp;5909990939817;"Merckle GmbH
Teva Operations Poland Sp. z o.o.";"D
PL"
5039;Lisinoratio  20;Lisinoprilum;tabletki;20 mg;30 tabl.;Rp;5909990939916;"Merckle GmbH
Teva Operations Poland Sp. z o.o.";"D
PL"
5040;Lisiprol;Lisinoprilum;tabletki;5 mg;"28 tabl. 
56 tabl. ";"Rp
Rp";"5909990682409
5909990682430";Gedeon Richter Plc.;H
5041;Lisiprol;Lisinoprilum;tabletki;10 mg;"28 tabl. 
56 tabl. ";"Rp
Rp";"5909990682447
5909990682454";Gedeon Richter Plc.;H
5042;Lisiprol;Lisinoprilum;tabletki;20 mg;"28 tabl. 
56 tabl. ";"Rp
Rp";"5909990682461
5909990682478";Gedeon Richter Plc.;H
5043;Lisiprol HCT;Lisinoprilum + Hydrochlorothiazidum;tabletki;10 mg + 12,5 mg;30 tabl.;Rp;5909990708352;"Gedeon Richter Plc.
Gedeon Richter Polska Sp. z o.o.";"H
PL"
5044;Lisiprol HCT;Lisinoprilum + Hydrochlorothiazidum;tabletki;20 mg + 12,5 mg;30 tabl.;Rp;5909990708369;"Gedeon Richter Plc.
Gedeon Richter Polska Sp. z o.o.";"H
PL"
5045;Lisiprol HCT;Lisinoprilum + Hydrochlorothiazidum;tabletki;20 mg + 25 mg;28 tabl.;Rp;5909991167714;Gedeon Richter Polska Sp. z o.o.;PL
5046;Lisonid 5 mg;Benazeprilum;tabletki powlekane;5 mg;"20 tabl.
28 tabl.
30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990430956
5909990430963
5909990430970
5909990430987
5909990430994";Actavis hf.;IS
5047;Lisonid 10 mg;Benazeprilum;tabletki powlekane;10 mg;"20 tabl.
28 tabl.
30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990431007
5909990431021
5909990431038
5909990431045
5909990431052";Actavis hf.;IS
5048;Lisonid 20 mg;Benazeprilum;tabletki powlekane;20 mg;"20 tabl.
28 tabl.
30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp";"5909990431069
5909990431076
5909990431083
5909990431090
5909990431106";Actavis hf.;IS
5049;Lisonid HCT;Benazeprili hydrochloridum + Hydrochlorothiazidum;tabletki powlekane;10 mg + 12,5 mg;"28 tabl.
30 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990649389
5909990649396
5909990649402";Actavis hf.;IS
5050;Lisonid HCT;Benazeprili hydrochloridum + Hydrochlorothiazidum;tabletki powlekane;20 mg + 25 mg;"28 tabl.
30 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990649471
5909990649488
5909990649495";Actavis hf.;IS
5051;Lisoniril;Lisinoprilum;tabletki;2,5 mg;"20 tabl.
30 tabl.
50 tabl.";"Rp
Rp
Rp";"5909990787173
5909990787180
5909990787197";"Actavis Ltd.
Actavis hf.
Genericon Pharma Gesellschaft m.b.H.";"MT
IS
A"
5052;Lisoniril;Lisinoprilum;tabletki;5 mg;"20 tabl.
30 tabl.
50 tabl.";"Rp
Rp
Rp";"5909990787203
5909990787234
5909990787241";"Actavis Ltd.
Actavis hf.
Genericon Pharma Gesellschaft m.b.H.";"MT
IS
A"
5053;Lisoniril;Lisinoprilum;tabletki;10 mg;"20 tabl.
30 tabl.
50 tabl.";"Rp
Rp
Rp";"5909990787777
5909990787784
5909990787791";"Actavis Ltd.
Actavis hf.
Genericon Pharma Gesellschaft m.b.H.";"MT
IS
A"
5054;Lisoniril;Lisinoprilum;tabletki;20 mg;"20 tabl.
30 tabl.
50 tabl.";"Rp
Rp
Rp";"5909990787944
5909990787951
5909990787968";"Actavis Ltd.
Actavis hf.
Genericon Pharma Gesellschaft m.b.H.";"MT
IS
A"
5055;Liść Babki lancetowatej;Plantaginis lanceolatae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990197118;"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5056;Liść Babki lancetowatej;Plantaginis lanceolatae folium;zioła do zaparzania;;"1 torebka 25 g
1 torebka 50 g";"OTC
OTC";"5909990468119
5909990468126";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5057;Liść Babki lancetowatej;Plantaginis lanceolatae folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990018512;Herbalux Sp. z o.o.;PL
5058;Liść Babki lancetowatej;Plantaginis lanceolatae folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990026616;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5059;Liść Bobrka;Menyanthidis trifoliatae folium;zioła do zaparzania;;"1 op. 20 g
1 op. 50 g
1 op. 100 g";"OTC
OTC
OTC";"5909990028757
5909990028764
5909990028771";"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5060;Liść Bobrka;Menyanthidis folium;zioła do zaparzania;;"1 op. 25 g
1 op. 50 g";"OTC
OTC";"5909994309012
5909994309029";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5061;Liść Bobrka;Menyanthidis folium;zioła do zaparzania;;1 op. 50 g;OTC;5909994333413;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5062;Liść Borówki brusznicy;Vitis idaeae folium;zioła do zaparzania;;"1 op. 25 g
1 op. 50 g";"OTC
OTC";"5909990628193
5909990628209";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5063;Liść Borówki brusznicy;Vitis idaeae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909994333314;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5064;Liść Brusznicy;Vitis idaeae folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990569724;Herbalux Sp. z o.o.;PL
5065;Liść Brzozy;Betulae folium;zioła do zaparzania;;"1 op. 20 g
1 op. 50 g
1 op. 100 g";"OTC
OTC
OTC";"5909990028849
5909990028856
5909990028863";"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5066;Liść Brzozy;Betulae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990567126;Krakowskie Zakłady Zielarskie HERBAPOL w Krakowie S.A.;PL
5067;Liść Brzozy;Betulae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909994311657;Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5068;Liść Brzozy;Betulae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909994333215;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5069;Liść Brzozy;Betulae folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990640355;Herbalux Sp. z o.o.;PL
5070;Liść Brzozy;Betulae folium;zioła do zaparzania w saszetkach;;"15 sasz. 3 g
20 sasz. 3 g
30 sasz. 3 g";"OTC
OTC
OTC";"5909990618651
5909990618668
5909990618675";Innowacyjno-Wdrożeniowe Laboratorium Farmaceutyczne Labofarm mgr farm. Tadeusz Pawełek;PL
5071;Liść Brzozy;Betulae folium;zioła do zaparzania w saszetkach;;30 sasz. 1,5 g;OTC;5909990674206;Herbalux Sp. z o.o.;PL
5072;Liść Brzozy;Betulae folium;zioła do zaparzania w saszetkach;;30 sasz. 2 g;OTC;5909994311619;Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5073;Liść Jeżyny;Rubi fruticosi folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990197316;"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5074;Liść Jeżyny fałdowanej;Rubi fruticosi folium;zioła do zaparzania;;"1 torebka 25 g
1 torebka 50 g";"OTC
OTC";"5909990468218
5909990468225";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5075;Liść Jeżyny fałdowanej;Rubi fruticosi folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990026418;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5076;Liść Mącznicy;Uvae ursi folium;zioła do zaparzania;;"1 op. 25 g
1 op. 50 g";"OTC
OTC";"5909994309418
5909994309425";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5077;Liść Mącznicy;Uvae ursi folium;zioła do zaparzania;;1 op. 50 g;OTC;5909994333116;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5078;Liść Mącznicy;Uvae ursi folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990569946;Herbalux Sp. z o.o.;PL
5079;Liść Mącznicy;Uvae ursi folium;zioła do zaparzania;;30 sasz. 2,5 g;OTC;5909990022182;Innowacyjno-Wdrożeniowe Laboratorium Farmaceutyczne Labofarm mgr farm. Tadeusz Pawełek;PL
5080;Liść Melisy;Melissae folium;zioła do zaparzania;;"1 op. 20 g
1 op. 50 g
1 op. 100 g
20 sasz. 2 g
26 sasz. 2 g
30 sasz. 2 g";"OTC
OTC
OTC
OTC
OTC
OTC";"5909990029259
5909990029266
5909990029273
5909990029228
5909990029235
5909990029242";"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5081;Liść Melisy;Melissae folium;zioła do zaparzania;;"1 op. 25 g
1 op. 50 g";"OTC
OTC";"5909994310759
5909994310766";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5082;Liść Melisy;Melissae folium;zioła do zaparzania;;"1 op. 50 g
25 sasz. 2 g";"OTC
OTC";"5909990567133
5909990567140";Krakowskie Zakłady Zielarskie HERBAPOL w Krakowie S.A.;PL
5083;Liść Melisy;Melissae folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909994357556;Herbalux Sp. z o.o.;PL
5084;Liść Melisy;Melissae folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990213252;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5085;Liść Melisy;Melissae folium;zioła do zaparzania w saszetkach;;"10 sasz. 1,8 g
20 sasz. 1,8 g
25 sasz. 1,8 g";"OTC
OTC
OTC";"5909994399419
5909994399426
5909994399433";"Warszawskie Zakłady Zielarskie ""Herbapol""";PL
5086;Liść Melisy;Melissae folium;zioła do zaparzania w saszetkach;;30 sasz. 1,5 g;OTC;5909990212286;ELANDA Zakład Produkcji Środków Farmaceutycznych Sp.J. B.Kazub, A.Orłowski;PL
5087;Liść Melisy;Melissae folium;zioła do zaparzania w saszetkach;;30 sasz. 1,5 g;OTC;5909990670178;Herbalux Sp. z o.o.;PL
5088;Liść Melisy;Melissae folium;zioła do zaparzania w saszetkach;;30 sasz. 1,5 g;OTC;5909994310711;Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5089;Liść Melisy;Melissae folium;zioła do zaparzania w saszetkach;;30 sasz. 2 g;OTC;5909990022151;Innowacyjno-Wdrożeniowe Laboratorium Farmaceutyczne Labofarm mgr farm. Tadeusz Pawełek;PL
5090;Liść Melisy;Melissae folium;zioła do zaparzania w saszetkach;;30 sasz. 2 g;OTC;5909990212767;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5091;Liść Melisy Phytopharm;Melissae folium;zioła do zaparzania w saszetkach;;"10 sasz. 2 g
20 sasz. 2 g
25 sasz. 2 g
30 sasz. 2 g";"OTC
OTC
OTC
OTC";"5909990052295
5909990052325
5909990052349
5909990052363";Phytopharm Dobrzyca Sp. z o.o.;PL
5092;Liść mięty pieprzowej;Menthae piperitae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990687404;Herbalux Sp. z o.o.;PL
5093;Liść Mięty pieprzowej;Menthae piperitae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909994333055;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5094;Liść Mięty pieprzowej;Menthae piperitae folium;zioła do zaparzania;;"1 op. 50 g
25 sasz. 2 g";"OTC
OTC";"5909990567157
5909990567164";Krakowskie Zakłady Zielarskie HERBAPOL w Krakowie S.A.;PL
5095;Liść Mięty pieprzowej;Menthae piperitae folium;zioła do zaparzania;;30 sasz. 1,5 g;OTC;5909990022069;Innowacyjno-Wdrożeniowe Laboratorium Farmaceutyczne Labofarm mgr farm. Tadeusz Pawełek;PL
5096;Liść Mięty pieprzowej;Menthae piperitae folium;zioła do zaparzania w saszetkach;;"1 op. 25 g
1 op. 50 g
30 sasz. 1,5 g
30 sasz. 2 g";"OTC
OTC
OTC
OTC";"5909990628483
5909990628490
5909990021864
5909990628506";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5097;Liść Mięty pieprzowej;Menthae piperitae folium;zioła do zaparzania w saszetkach;;"10 sasz. 2 g
20 sasz. 2 g
25 sasz. 2 g";"OTC
OTC
OTC";"5909994399112
5909994399129
5909994399136";"Warszawskie Zakłady Zielarskie ""Herbapol"" Pruszków";PL
5098;Liść Mięty pieprzowej;Menthae piperitae folium;zioła do zaparzania w saszetkach;;30 sasz. 1,5 g;OTC;5909990687022;Herbalux Sp. z o.o.;PL
5099;Liść Mięty pieprzowej;Menthae piperitae folium;zioła do zaparzania w saszetkach;;30 sasz. 2 g;OTC;5909990213054;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5100;Liść Mięty pieprzowej Phytopharm;Menthae piperitae folium;zioła do zaparzania w saszetkach;;"10 sasz. 2 g
20 sasz. 2 g
25 sasz. 2 g
30 sasz. 2 g
50 sasz. 2 g";"OTC
OTC
OTC
OTC
OTC";"5909990052004
5909990052042
5909990052073
5909990052103
5909990052141";Phytopharm Dobrzyca Sp. z o.o.;PL
5101;Liść Mięty pieprzowej/Mięta Fix;Menthae piperitae folium;zioła do zaparzania;;"1 op. 20 g
1 op. 50 g
1 op. 100 g
20 sasz. 2 g
26 sasz. 2 g
30 sasz. 2 g";"OTC
OTC
OTC
OTC
OTC
OTC";"5909990029341
5909990029358
5909990029365
5909990029280
5909990029297
5909990029303";"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5102;Liść Ortosyfonu;Orthosiphonis folium;zioła do zaparzania;;"1 torebka 25 g
1 torebka 50 g";"OTC
OTC";"5909990473618
5909990473625";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5103;Liść Ortosyfonu groniastego;Orthosiphonis folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990017911;Herba Studio Mścisz i Wspólnicy Spółka Jawna;PL
5104;Liść Orzecha włoskiego;Juglandis folium;zioła do zaparzania;;"1 op. 20 g
1 op. 50 g";"OTC
OTC";"5909990197217
5909990197224";"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5105;Liść Orzecha włoskiego;Juglandis folium;zioła do zaparzania;;"1 op. 25 g
1 op. 50 g";"OTC
OTC";"5909990219414
5909990219421";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5106;Liść Orzecha włoskiego;Juglandis folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990658916;Krakowskie Zakłady Zielarskie HERBAPOL w Krakowie S.A.;PL
5107;Liść Orzecha włoskiego;Juglandis folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990026517;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5108;Liść Podbiału;Farfarae folium;zioła do zaparzania;;"1 op. 25 g
1 op. 50 g";"OTC
OTC";"5909994309319
5909994309326";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5109;Liść Podbiału;Farfarae folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909994332959;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5110;Liść Pokrzywy;Urticae folium;zioła do zaparzania;;1 op. 25 g;OTC;5909990680788;Herbalux Sp. z o.o.;PL
5111;Liść Pokrzywy;Urticae folium;zioła do zaparzania;;"1 op. 25 g
1 op. 50 g";"OTC
OTC";"5909990219513
5909990219520";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5112;Liść Pokrzywy;Urticae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990197019;"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5113;Liść Pokrzywy;Urticae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990015221;"Wrocławskie Zakłady Zielarskie ""Herbapol"" S.A.";PL
5114;Liść Pokrzywy;Urticae folium;zioła do zaparzania;;"1 op. 50 g
25 sasz. 1,5 g";"OTC
OTC";"5909990567171
5909990567188";Krakowskie Zakłady Zielarskie HERBAPOL w Krakowie S.A.;PL
5115;Liść Pokrzywy;Urticae folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990218318;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5116;Liść Pokrzywy;Urticae folium;zioła do zaparzania w saszetkach;;"10 sasz. 1,4 g
20 sasz. 1,4 g
25 sasz. 1,4 g";"OTC
OTC
OTC";"5909994198227
5909994198234
5909994198210";"Warszawskie Zakłady Zielarskie ""Herbapol"" Pruszków";PL
5117;Liść Pokrzywy;Urticae folium;zioła do zaparzania w saszetkach;;25 sasz. 2 g;OTC;5909990022120;Innowacyjno-Wdrożeniowe Laboratorium Farmaceutyczne Labofarm mgr farm. Tadeusz Pawełek;PL
5118;Liść Pokrzywy;Urticae folium;zioła do zaparzania w saszetkach;;30 sasz. 1,5 g;OTC;5909990681006;Herbalux Sp. z o.o.;PL
5119;Liść Pokrzywy;Urticae folium;zioła do zaparzania w saszetkach;;30 sasz. 1,5 g;OTC;5909990219612;Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5120;Liść Pokrzywy;Urticae folium;zioła do zaparzania w saszetkach;;30 sasz. 2 g;OTC;5909990317219;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5121;Liść Prawoślazu;Althaeae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990680764;Herbalux Sp. z o.o.;PL
5122;Liść Rozmarynu;Rosmarini folium;zioła do zaparzania;;"1 op. 20 g
1 op. 50 g
1 op. 100 g";"OTC
OTC
OTC";"5909990029402
5909990029426
5909990029433";"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
5123;Liść Rozmarynu;Rosmarini folium;zioła do zaparzania;;"1 op. 25 g
1 op. 50 g";"OTC
OTC";"5909994309913
5909994309920";Zakład Konfekcjonowania Ziół FLOS Elżbieta i Jan Głąb;PL
5124;Liść Rozmarynu;Rosmarini folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990609468;Herbalux Sp. z o.o.;PL
5125;Liść Rozmarynu;Rosmarini folium;zioła do zaparzania;;1 torebka 50 g;OTC;5909990214556;"Zakład Zielarski ""Kawon-Hurt"" Nowak Sp.J.";PL
5126;Liść Senesu;Sennae folium;zioła do zaparzania;;1 op. 50 g;OTC;5909990214037;Krakowskie Zakłady Zielarskie HERBAPOL w Krakowie S.A.;PL
